Nombre del producto;Categoría;Subcategoría;Cate;Precio incluido IVA;Código de producto;Inventario inicial;Descripción ;Marca;Color;Peso;Garantía
CASE GAMER SATE K-871 ;computación;case;computación,case;80,35;CSE-K871;20;"3 VENTILADORES - SIN FUENTE
 47x22x41CM";Sate;negro;4.8;si
CASE GAMER SATE K-872 ;computación;case;computación,case;80,35;CSE-K872;60;"3 VENTILADORES - SIN FUENTE
49X25X42 cm";Sate;negro;4.8;si
CASE GAMER SATE K-873 ;computación;case;computación,case;80,35;CSE-K873;35;"3 VENTILADORES - SIN FUENTE
33CM X 19.2CM X 43.5 CM";Sate;negro;4.9;si
CASE GAMER SATE K-874 ;computación;case;computación,case;82,77;CSE-K874;54;"3 VENTILADORES Y CONTROL DE COOLER - SIN FUENTE
40.8CM X 20.2 CM X 45.6 CM";Sate;negro;5.3;si
CASE GAMER SATE K-876 ;computación;case;computación,case;119,76;CSE-K876;10;"6 VENTILADORES Y CONTROL DE COOLER - SIN FUENTE
33 CM X 19.2 CM X 45CM";Sate;blanco;4.9;si
CASE GAMER SATE K-878 ;computación;case;computación,case;62,23;CSE-K878;42;"4 VENTILADORES - SIN FUENTE
19.5 CM X 36 CM X 39 CM";Sate;negro;3.7;si
CASE GAMER SATE K-881 ;computación;case;computación,case;140,99;CSE-K881;8;"6 VENTILADORES Y CONTROL DE COOLER - SIN FUENTE
40CM X 22.5 CM X* 47.5 CM";Sate;blanco;7.3;si
CASE GAMER SATE K-885 ;computación;case;computación,case;46,1;CSE-K885;122;"1 VENTILADOR - SIN FUENTE
37 x 19 x 42 cm";Sate;negro;3.3;si
CASE SOLO RIPPA 11GE-AT10 ATX ;computación;case;computación,case;54,53;cse-riat10;0;600W;Rippa;negro;4.3;
DISCO DURO EXTERNO 1TB SEAGATE BACKUP PLUS SLIM  STDR1000-103;computación;componentes;computación,componentes;90,13;HDD1EXSR;22;;Seagate;rojo;0.2;si
"DISCO DURO EXTERNO 2TB ADATA HD710 PRO 2.5"" MODELO:
AHD710P-2TU31-CBK";computación;componentes;computación,componentes;109,07;HDD2TEXT-710;1;;Adata;negro;0.3;si
"DISCO DURO EXTERNO 2TB ADATA HD710M PRO 2.5""  MODELO:
AHD710MP-2TU31-CCF";computación;componentes;computación,componentes;109,07;HDD2EXTM;23;;Adata;militar;0.3;si
"DISCO DURO EXTERNO 2TB TOSHIBA 3.5"" ";computación;componentes;computación,componentes;123,64;HDD2EXT;4;MODELO DESK CON CARGADOR;Toshiba;negro;1.4;si
"DISCO DURO EXTERNO 4TB ADATA HD710 PRO 2.5"" MODELO:
AHD710P-4TU31-CBK";computación;componentes;computación,componentes;163,37;HDD4EXT-710;0;;Adata;negro;1.4;si
DISCO DURO PARA LAPTOP 1TB TOSHIBA SERIAL SATA 2.5;laptops;componentes laptops;laptops,componentes laptops;71,71;HDD1TPL-T;4;;Toshiba;;0.1;si
DISCO DURO PARA PC 2TB WESTERN DIGITAL AZUL;computación;componentes;computación,componentes;143,43;HDD-2TAWA;1;;Western;;0.4;si
DISCO DURO PARA PC 3TB WESTERN DIGITAL PURPLE;computación;componentes;computación,componentes;210,57;HDD3TWP;2;;Western;;0.4;si
DISCO DURO SOLIDO 120GB GIGABYTE GP-GSTFS31120GNTD;computación;componentes;computación,componentes;27,59;HDD120SSD;15;;Gigabyte;;0.1;si
DISCO DURO SOLIDO 1TB ADATA ULTIMATE SU650 M.2 2280 SATA 6GB/S;computación;componentes;computación,componentes;147,48;HDD1TB-SU650;4;;Adata;;0.1;si
"DISCO DURO SOLIDO 240GB GIGABYTE GP-GSTFS312400GNTD 2.5""";computación;componentes;computación,componentes;41,99;HDD240SG;6;;Gigabyte;;0.1;si
DISCO DURO SOLIDO 256GB GIGABYTE M.2 GP-GSM2NE3256GNT;computación;componentes;computación,componentes;48,74;HDS-256GM.2;2;;Gigabyte;;0.1;si
"DISCO DURO SOLIDO 480GB GIGABYTE GP-GSTFS314800GNTD 2.5""";computación;componentes;computación,componentes;71,77;HDD480GB;9;;Gigabyte;;0.1;si
DISCO DURO SOLIDO 512GB ADATA SU800 512GT-C M.2;computación;componentes;computación,componentes;95,65;HDD500S-SU800;5;;Adata;;0.1;si
"DISCO DURO SOLIDO 960GB ADATA SU630 6gB/S 2.5""";computación;componentes;computación,componentes;140,29;HDD960S-SU630;2;;Adata;;0.1;si
DISCO DURO SOLIDO EXTERNO 240GB ADATA SD600Q USB 3.2;computación;componentes;computación,componentes;85,51;HDD-SSDEXT240G;5;;Adata;;0.1;si
DISCO DURO SOLIDO EXTERNO 512GB ADATA SD700 USB 3.2;computación;componentes;computación,componentes;107,25;HDD-SSDEXT512GB;1;;Adata;;0.1;si
FUENTE DE PODER 450W GIGABYTE 80 PLUS P450B GAMMING;computación;componentes;computación,componentes;58,23;FUE-GP450B;1;;Gigabyte;negro;2;si
FUENTE DE PODER 500W SATE GOLD PRO 500 80 PLUS GAMING MODULAR 20+4PX1/PERIFERICOSX2/SATAX6/PCI-E P6+2X2/CPU P4+P4X1;computación;componentes;computación,componentes;87,01;FUE-GOLDPRO500;142;;Sate;negro;1.7;si
"FUENTE DE PODER 500W SATE PRO-580 GAMING MODULAR
20+4PX1/PERIFERICOSX2/SATAX4/PCI-E P6+2X2/CPU P4+P4X1";computación;componentes;computación,componentes;53,57;FUE-PRO580;3;;Sate;negro;1.4;si
FUENTE DE PODER 500W SATE PRO-590 RGB GAMING MODULAR 20+4PX1/PERIFERICOSX2/SATAX4/PCI-E P6+2X2/CPU P4+P4X1;computación;componentes;computación,componentes;60,08;FUE-PRO590;37;;Sate;negro;1.4;si
FUENTE DE PODER 750W VANTEC;computación;componentes;computación,componentes;14,19;FUE750W;52;;Vantec;plateado;0.8;si
IMPRESORA EPSON L3210 MULTIFUNCION TINTA CONTINUA;impresoras;tinta continua;impresoras,tinta continua;278,25;IMP-3210;155;"Tecnología de Impresión: Impresión sin cartuchos: Inyección de tinta Heat-FreeTM Micro Piezo de 4 colores (CMYK) (TINTAS INCLUIDAS)
Sistemas de Operación:
Windows Vista® / 7 / 8 / 8.1 / 10 o más reciente (32bit, 64bit)
Windows Server® 2003 (SP2) or later
Mac OS X 10.5.8 o más reciente, macOS 11 o más reciente
CAJA CONTIENE:
Cable de corriente AC
Cable USB
CD con drivers (Windows)
Documentación y garantía";Epson;negro;5.5;si
COMANDO RAZER KISHI PARA ANDROID RZ06-02900100-R3U1;gamer;game pad;gamer,game pad;113,03;CONT-RAZER1241;3;"CONEXIÓN: USB C
NO NECESITA CARGA
3 BOTONES MULTIFUNCIÓN
MODELOS COMPATIBLES:
Samsung Galaxy S8, S8+, S9, S9+, S10, S10+, S20, S20+, S21, S21+, S21 Ultra
Samsung Galaxy Note 8, Note 9, Note 10, Note 10+
Google Pixel 2/2 XL/3/3XL/4/4XL
Razer Phone 1 y 2 (piezas de sujeción disponibles en el servicio de asistencia)
Otros dispositivos dentro de las dimensiones compatibles (145,3 - 163,7 mm x 68,2 - 78,1 mm x 7,0 - 8,8 mm)
DIMENSIONES:
Longitud: 94.3 mm / 3.71""
Ancho: 134.1 mm / 5.28""
Alto (collapsed): 37.3 mm / 1.47""
APLICACIÓN MÓVIL";Razer;negro;0.3;si
COMANDO RAZER KISHI PARA IPHONE  RZ06-03360100-R3U1;gamer;game pad;gamer,game pad;119,76;CONT-RAZER1243;4;"CONEXIÓN: Lightning
NO NECESITA CARGA
3 BOTONES MULTIFUNCIÓN
MODELOS COMPATIBLES:
iPhone 12, 12 Pro, 12 Pro Max
iPhone 11, 11 Pro, 11 Pro Max
iPhone X, XR, XS, XS Max
iPhone 6+, 6s+, 7+, 8+
DIMENSIONES:
Longitud: 94.3 mm / 3.71""
Ancho: 134.1 mm / 5.28""
Alto (collapsed): 37.3 mm / 1.47""
APLICACIÓN MÓVIL";Razer;negro;0.3;si
PARLANTES GENIUS SP-Q160 POWER 6W ;computación;parlantes;computación,parlantes;8,81;PARQ160-IG;1;CONEXIÓN USB;Genius;gris;0.4;si
PARLANTES GENIUS SP-Q160 POWER 6W ;computación;parlantes;computación,parlantes;8,81;PARQ160-O;2;CONEXIÓN USB;Genius;naranja;0.4;si
PARLANTES GENIUS SP-Q160 POWER 6W ;computación;parlantes;computación,parlantes;8,81;PARQ160-R;1;CONEXIÓN USB;Genius;rojo;0.4;si
PARLANTES GENIUS SP-Q180;computación;parlantes;computación,parlantes;9,71;PARQ180-B;18;CONEXIÓN USB;Genius;azul;0.4;si
PARLANTES GENIUS SP-Q180 ;computación;parlantes;computación,parlantes;9,71;PARQ180-IG;18;CONEXIÓN USB;Genius;gris;0.4;si
PARLANTES GENIUS SP-Q180 ;computación;parlantes;computación,parlantes;9,71;PARQ180-O;2;CONEXIÓN USB;Genius;naranja;0.4;si
PARLANTES GENIUS SP-Q180 ;computación;parlantes;computación,parlantes;9,71;PARQ180-R;3;CONEXIÓN USB;Genius;rojo;0.4;si
PARLANTES GENIUS SW-G5.1 3500 ;computación;parlantes;computación,parlantes;114,03;PAR3500;1;"Potencia total (watts)80 W
RMS (watts) Parlante de graves: 30 vatios
secundarios:10 vatios x 5
Unidad de potencia Parlante de graves: 6.5″; 5 Ω
secundarios: 3″; 4 Ω
Frecuencia50 Hz – 20K Hz
Pantalla LED / LCDColorido indicador LED
Dimensiones de Parlante de graves: 230 x 215 x 327 mm y secundarios: 112 x 140 x 99 mm";Genius;negro con rojo;7.3;si
PARLANTES GOLF E-11 3W*2 ;computación;parlantes;computación,parlantes;7,39;HD-E11;1;CONEXIÓN USB;;negro;0.2;
PARLANTES JITENG JT016 3W*2 ;computación;parlantes;computación,parlantes;6,72;HD-JT016;1;CONEXIÓN USB;;blanco;0.2;
PARLANTE 2.0 KLIP XTREME MYSTIK CON CONTROL REMOTO KSB-250;hogar;parlantes hogar;hogar,parlantes hogar;116,54;BS-KSB250;1;"Entrada CA: 100V/240V - 50/60Hz (detección automática)
Iluminación LED: Configuraciones de luces multicolores ajustables
Potencia RMS de referencia: 160W

Parlante satélite:
Unidad del parlante: 57mm por canal (4 en total)
Nivel de presión de sonido (N.P.S.): 92dB con una distorsión armónica total inferior al 1%

Parlante de graves:
Unidad del parlante: 8 pulgadas
Nivel de presión de sonido (N.P.S.): 90dB con menos de un 1% de distorsión armónica total

Tipo de conexión: Compatible con Bluetooth®, RCA y 3.5mm (con adaptador)
Alcance de la señal inalámbrica: 15m

Dimensiones: Parlante: 120x110x415mm (cada uno) Parlante de bajos: 240x350x355mm";Klip Xtreme;negro;5.2;
PARLANTES MINI KLIP XTREME kws-600;hogar;parlantes hogar;hogar,parlantes hogar;24,37;par600;6;CONEXIÓN BLUETOOTH Y BATERÍA RECARGABLE;Klip Xtreme;;0.2;si
PARLANTES SATE S-001 2W ;computación;parlantes;computación,parlantes;6,68;PAR-S001;294;CONEXIÓN USB + PLUG;Sate;negro;0.3;si
PARLANTES TWIN XTRATECH STEREO 2 UNIDADES;hogar;parlantes hogar;hogar,parlantes hogar;44,68;PARBX;2;ESTÉREO - CONEXIÓN BLUETOOTH;Xtratech;negro;0.8;si
PORTÁTIL ACER SPIN 3 SP314-54N-58Q7;laptops;portátiles;laptops,portátiles;8962,4;LAP-ACER-SP314-54N-5;1;" I5-1035G1 1.0GHZ 14"" FHD IPS 8GB
256GB SSD NVMe WIFI BT W10 HOME NX.HQ7AA.009";Acer;plateado;3.1;si
PORTÁTIL ASUS VIVOBOOK 14 F415E ;laptops;portátiles;laptops,portátiles;593,24;LAP-ASUS-I31115;6;"I3-1115G4 14"" FHD 8GB 128GB SSD WIFI
BT W10 HOME SLATE GREY 90NB0TT2-M06750";Asus;slate grey;2.2;si
PORTÁTIL ASUS VIVOBOOK 15 X512JA-211.VBGB ;laptops;portátiles;laptops,portátiles;1080,4;LAP-ASUS-I7-1065;1;"I7-1065G7 1.3GHZ 15.6"" FHD TOUCH 8GB 256GB SSD + 1TB WIFI BT W10 HOME 90NB0QUF-M15120";Asus;slate grey;2.6;si
PORTÁTIL ASUS VIVOBOOK S15 S512FL-NB71;laptops;portátiles;laptops,portátiles;1319,04;LAPI7-S512F;1;" I7-10510U 4.9 GHZ 15.6"" FHD 8GB DDR4 HDD 512GB SSD M.2 T/V 2GB GEFORCE MX250 WIFI BT USB-C";Asus;plateado;2.3;si
PORTÁTIL DYNABOOK TECRA A40-G140ED;laptops;portátiles;laptops,portátiles;437,66;LAP-TOSCELERON;7;" CELERON 5205U 1.9GHZ 14"" 4GB
128GB SSD WIFI BT W10 PRO PMZ20U-008007";Toshiba;negro;2.1;si
PORTÁTIL HP 14-DK1032WM;laptops;portátiles;laptops,portátiles;583,2;LAP-14-DK1032;0;" AMD RYZEN 3 3250U 2.6GHZ 14"" FHD 4GB 128GB SSD M.2 WIFI BT W10 HOME 33K34UA";Hp;plateado;2;si
PORTÁTL HP 14-DQ2045CL;laptops;portátiles;laptops,portátiles;1232,44;LAP-HP-14-DQ2045CL;4;" I7-1165G7 14"" FHD 12GB 512GB SSD TECLADO
RETROILUMINADO WIFI BT W10 HOME 20J11UA#ABA";Hp;platinum grey;2;si
PORTÁTIL HP 14-DQ2055WM;laptops;portátiles;laptops,portátiles;593,43;LAPHPI39K15UA;0;" I3-1115G4 3.0GHZ 14"" FHD 4GB 256GB SSD M.2 WIFI BT W10 HOME 39K15UA#ABA";Hp;plateado;2.1;si
PORTÁTIL HP 15-DY2048NR;laptops;portátiles;laptops,portátiles;1134,11;LAP-HP-I7-1165G7;9;" I7-1165G7 UP TO 4.7GHZ 15.6"" HD 8GB 256GB
SDD INTEL IRIS X GRAPHICS WIFI BT W10 HOME 2Q1H6UA#ABA";Hp;plateado;2.2;si
PORTÁTIL LENOVO IDEAPAD 3  15ITL05;laptops;portátiles;laptops,portátiles;614,02;LAP-LEN81XPG;4; I3-1115G4 3.0GHZ 15.6 FHD 4GB 128GB WIFI BT W11 HOME PLATINUM GREY 81X800EKUS;Lenovo;platinum grey;2.4;si
PORTÁTIL LENOVO IDEAPAD 3 15ITL05;laptops;portátiles;laptops,portátiles;650,26;LAP-LEN81X;15;" I3-1115G4 3.0GHZ 15.6"" FHD 4GB
128GB SSD M.2 WIFI BT W10 HOME ABYSS BLUE 81X80055US";Lenovo;abyss blue;2.4;si
PORTÁTIL LENOVO IDEAPAD 3 15ITL05;laptops;portátiles;laptops,portátiles;614,02;LAP-LEN81XAL;5;" I3-1115G4 3.0GHZ 15.6"" FHD 4GB 128GB SSD WIFI BT W11 HOME  81X800EMUS";Lenovo;almond;2.4;si
PORTÁTIL LENOVO IDEAPAD 3 17IIL05;laptops;portátiles;laptops,portátiles;1149,37;LAP-LENI7-1065;4;" I7-1065G7 1.3GHZ 17.3"" FHD IPS 8GB
256GB SSD WIFI BT W10 HOME  81WF000SUS";Lenovo;abyss blue;2.9;si
PORTÁTIL LENOVO IDEAPAD 5 15ALC05 ;laptops;portátiles;laptops,portátiles;1049,25;LAP-LENRYZEN782L;0;"AMD RYZEN 7 5700U 1.8 GHZ 15.6"" FHD IPS 8GB 512GB SSD WIFI BT W10 HOME  82LN006CUS";Lenovo;abyss blue;2.4;si
PORTÁTIL LENOVO LEGION 5 15ARH05;laptops;portátiles;laptops,portátiles;1246,96;LAP-LENRZ5-82B;5;" AMD RYZEN 5 4600H 3.0 GZ 15.6"" FHD IPS 8GB 1TB + 256GB SSD T/V 4GB NVIDIA GEFORCE GTX 1650TI W10 HOME";Lenovo;negro;4.4;si
PORTÁTIL LENOVO LEGION 5 17ACH6 ;laptops;portátiles;laptops,portátiles;1167,94;LAP-RYZEN5-17;6;"AMD RYZEN 5 5600H 3.3GHZ 17.3"" FHD IPS 144HZ 8GB 256GB SSD T/V 4GB NVIDIA GEFORCE GTX 1650 WIFI BT W11";Lenovo;negro;4.8;si
PORTÁTIL LENOVO YOGA 7 15ITL5;laptops;portátiles;laptops,portátiles;1037,99;LAP-LENOVO-YOGA7-15I;1;" I5-1135G7 2.4GHZ 15.6"" FHD IPS TOUCH
8GB 256GB SSD W10 HOME 82BJ0001US";Lenovo;slate grey;2.8;si
"ROUTER TPLINK 2 ANTENAS TL-WR844N INALAMBRICO MULTIMODO 300
MBPS";redes;router;redes,router;20,03;ROU-844N;5;"Wi-Fi de Alta Velocidad - La velocidad de transmisión inalámbrica de 300 Mbps es ideal tanto para tareas sensibles al ancho de banda como para trabajos básicos.
Cobertura Mejorada - Dos antenas omnidireccionales y 2 × 2 MIMO brindan una fuerte señal Wi-Fi y conexiones confiables.
Multimodo 4 en 1 - Admite los modos Router, Access Point, Range Extender y WISP para satisfacer cualquier necesidad de red.
Controles Parental - Administra cuándo y cómo los dispositivos conectados pueden acceder a Internet.
Red de Invitados -  Proporciona acceso independiente para invitados mientras protege la red del host.
Transmisión HD Fluida - Admite IGMP Proxy / Snooping, Bridge y Tag VLAN para optimizar la transmisión de IPTV.
Compatible con IPv6 - Compatible con IPv6 (la última versión 6 del Protocolo de Internet).";Tplink;blanco;0.4;si
ROUTER TPLINK 3 ANTENAS TL-WR940N INALAMBRICO 450MBPS;redes;router;redes,router;28,37;ROU940T-450;6;"Velocidad inalámbrica ideal de 450 Mbps para las aplicaciones sensibles como la interrupción de difusión de video HD
Tres antenas inalámbricas incrementan la red robusta y estabilidad
Encriptado fácil de la seguridad inalámbrica sólo presionando el botón QSS
Control de ancho de banda basado en IP permite a los administradores determinar la cantidad de ancho de banda asignado a cada PC
​*la velocidad inalámbrica 450Mbps es solamente paa el TL-WR940N V3 mientras que las versiones anteriores son 300Mbps.";Tplink;negro;0.6;si
ROUTER TPLINK 4 ANTENAS ARCHER C64 INALÁMBRICO AC1200 MU-MIMO;redes;router;redes,router;54,22;ROU-C64A;3;"Admite el estándar 802.11ac
Conexiones simultáneas de 2.4GHz 300 Mbps y 5GHz 867 Mbps para 1200 Mbps de ancho de banda total disponible
4 antenas externas y una antena interna proporcionan conexiones inalámbricas estables y una cobertura óptima
Fácil administración de la red al alcance de su mano con TP-Link Tether
MU-MIMO logra el doble de eficiencia al comunicarse con hasta 2 dispositivos a la vez
La tecnología Beamforming ofrece una cobertura inalámbrica más amplia
Admite el modo de punto de acceso para crear un nuevo punto de acceso Wi-Fi";Tplink;negro;0.6;si
COMBO 4 EN 1 REDRAGON GAMING ESSENTIALS S101-BA-2-SP ;gamer;kits gamers;gamer,kits gamers;60,02;KIT-REDRAGONS101-BA-;25;"MOUSE PAD: Gamuza de silk
Parte inferior antideslizante con goma espuma
HEADSET: Sensibilidad 103dB
Cable 2m - Plug 3.5mm
Mic: -45 +- 3dB
TECLADO RGB: 104 Teclas estándar
A prueba de salpicaduras
MOUSE:  3200 DPI (Ajustable)
3600 FPS - 5 Botones 
";Redragon;negro;1.6;si
COMBO RAZER BUNDLE  RZ85-02741400-B311;gamer;kits gamers;gamer,kits gamers;114,5;TEC+MOU+PAD-RZ1276;2;"Teclado para juegos Cynosa Lite
Mouse para juegos Viper Mini
Mouse Pad Mediano Gigantus v2";Razer;negro;2.1;si
 GENIUS INALÁMBRICO KM-8100 BLACK SP;computación;kits;computación,kits;20,17;TEC-8100;4;INALÁMBRICO: TECLADO + MOUSE;Genius;negro;0.7;si
KIT GENIUS INALÁMBRICO KM-8200 BLACK SP;computación;kits;computación,kits;20,14;TECKM-8200;33;INALÁMBRICO: TECLADO + MOUSE;Genius;negro;0.6;si
KIT GENIUS KM-160 USB;computación;kits;computación,kits;12,96;TECKM-160;1;TECLADO + MOUSE;Genius;negro;0.8;si
KIT GENIUS SLIMSTAR C126 USB ;computación;kits;computación,kits;13,82;TEC-C126;6;TECLADO + MOUSE;Genius;negro;0.6;si
KIT GENIUS SMART KM-200 USB ;computación;kits;computación,kits;13,13;TEC-KM200;20;TECLADO + MOUSE;Genius;negro;0.8;si
KIT LOGITECH K400 PLUS TOUCH INALÁMBRICO ;computación;kits;computación,kits;34,36;TECK400L;1;INALÁMBRICO: TECLADO CON MOUSE INTEGRADO;Logitech;negro;0.5;si
KIT LOGITECH MK220 INALÁMBRICO;computación;kits;computación,kits;31,08;TEC220;3;INALÁMBRICO: TECLADO + MOUSE;Logitech;negro;;si
KIT LOGITECH MK270 INALÁMBRICO;computación;kits;computación,kits;32,22;TECL270;25;INALÁMBRICO: TECLADO + MOUSE;Logitech;negro;0.7;si
KIT WEIBO WB-710 USB GAMING MECÁNICO;gamer;kits gamers;gamer,kits gamers;21,5;tecom-wei;3;TECLADO MECÁNICO + MOUSE;Weibo;translúcido;0.6;
TECLADO GENIUS LUXEMATE 100 USB;computación;teclados;computación,teclados;9,3;TEC100L;27;;Genius;negro;0.4;si
TECLADO GENIUS SLIMSTAR 126 MULTIMEDIA USB;computación;teclados;computación,teclados;9,71;TEC126;1;;Genius;negro;0.3;si
TECLADO GENIUS SMART KB-100 USB;computación;teclados;computación,teclados;8,94;TECKB-100;68;;Genius;negro;0.5;si
TECLADO LOGITECH K120 USB ;computación;teclados;computación,teclados;15,16;TECL120;1;;Logitech;negro;0.7;si
TECLADO LOGITECH K270 INALÁMBRICO;computación;teclados;computación,teclados;24,68;TEC-270I;0;"Duración de pilas de hasta 24 meses
diseño a prueba de salpicaduras
 El K270 se suministra con un receptor USB Logitech Unifying que te permite emparejar hasta seis dispositivos Logitech compatibles
Compatibilidad:
Windows® 10,11 o posterior
Conexión USB: Requiere puerto USB disponible.";Logitech;negro;0.3;si
TECLADO LOGITECH K380 BLUETOOTH MULTIDISPOSITIVO;computación;teclados;computación,teclados;41,83;TEC-K830;1;"Batería: 2 x AAA
Batería: 24 meses
ESPECIFICACIONES TÉCNICAS
Tipo de conexión: Bluetooth Classic (3.0)
Radio de acción inalámbrico: 10 m 2
El radio de acción inalámbrico depende de las condiciones del entorno y de los dispositivos
COMPATIBILIDAD
Dispositivos Bluetooth con:
Windows 10,11 o posterior
MacOS 10.15 o posteriores
iPadOS 13.1 o posteriores
iOS 11 o posteriores
Chrome OS
Android 7 o posteriores
Funciona con Surface";Logitech;blanco;0.5;si
TECLADO NUMÉRICO GENIUS NUMPAD 100 USB ;computación;teclados;computación,teclados;8,98;tec110nu;3;;Genius;negro;0.2;si
"TECLADO RAZER CYNOSA LITE ESSENTIAL 
RZ03-02741600-R311";gamer;teclados gamers;gamer,teclados gamers;47,26;TEC-RAZER1240;3;"CONEXIÓN USB
TECLADO DE MEMBRANA
IDIOMA: ESPAÑOL
Compatible con Razer Synapse 3. 
Iluminación Chroma de una sola zona
Teclas programables con grabación de macros
Diseño duradero y resistente a las salpicaduras. 
Zona de retroiluminación única Razer Chroma™ con 16,8 millones de opciones de color personalizables. ";Razer;negro;1.2;si
TECLADO RAZER ORNATA CHROMA RZ03-02040200-R3U1;gamer;teclados gamers;gamer,teclados gamers;127,4;TEC-RO;1;"CONEXIÓN USB
IDIOMA: ESPAÑOL
COMPATIBLE RAZER SYNAPSE
TECLAS PROGRAMABLES
TECLADO HÍBRIDO: MEMBRANA Y MECÁNICO
TECNOLOGÍA CHROMA
INCLUYE REPOSA MUÑECA";Razer;negro;1.7;si
TECLADO REDRAGON HARPE PRO K503A-RGB ;gamer;teclados gamers;gamer,teclados gamers;30,99;TEC-REDRAGONK503A-RG;7;"FULL SIZE - RGB
IDIOMA: Inglés
TIPO DE TECLADO: Membrana
BLOQUEO DE TECLA WINDOWS
ANTISAPILCADURAS
CABLE: Goma, reforzado. Soporta 12 kg y 10000 flexiones. USB enchapado en oro.";Redragon;negro;0.9;si
TECLADO SATE AK-910 USB ;computación;teclados;computación,teclados;8,49;TEC-AK910;131;;Sate;negro;0.5;si
TECLADO SATE GAMING AK-837 USB ;gamer;teclados gamers;gamer,teclados gamers;12,14;TEC-AK837;4;USB CABLE 1.80M;Sate;negro;0.9;si
TECLADO USB FLEXIBLE;computación;teclados;computación,teclados;11,34;HD-TCL-FLEX;1;USB;;negro;0.2;
"MONITOR LG 19.5"" LED 20MK400H-B ";computación;monitores;computación,monitores;163,77;MON19-20MK400HB;10;"HDMI (CABLE INCLUIDO)
Sin parpadeo
Sincronización dinámica de acciones
Estabilizador de negros
OnScreen Control
Tiempo de respuesta 2 ms
Resolución: 1366 x 768
Ahorro de energía inteligente
Modo imagen Personalizada, Lectura, Debilidad de colores, Foto, Cine, Juego";Lg;negro;3.2;si
"MONITOR SAMSUNG 18.5"" S19A330NHL";computación;monitores;computación,monitores;186,85;MON-SAM18.5;1051;"Resolución: 1366X768
Tiempo de respuesta: 5 (GTG)ms
Modo ahorro
HDMI (INCLUYE CABLE)
VGA";Samsung;negro;3;si
"MONITOR SAMSUNG 24"" CURVED C24T550FDL";computación;monitores;computación,monitores;418,44;MON-SAM24;3;"RESOLUCIÓN 1920x1080 - 75 Hz
TIEMPO DE RESPUESTA: 4ms
HDMI (INCLUYE CABLE)
DISPLAY PORT
VGA";Samsung;negro;5.5;si
"MONITOR VIEWSONIC 18.5"" LED VA1903H";computación;monitores;computación,monitores;164,35;MONVA1903H;10;"MODELO: LED VA1903H
PUERTOS: HDMI-VGA
RESOLUCIÓN: (1366x768)
INCLUYE CABLE VGA";Viewsonic;negro;3;si
KIT GAMER REDRAGON M601WL-BA;gamer;kits gamers;gamer,kits gamers;19,62;MOU-PADREDRAGONM601W;9;"MOUSE CENTROPHORUS WIRELESS:
DPI de 400 a 3200.
Cantidad Botones: 6 botones.
TIpo de agarre: Palm, Claw, Fingertip.
Orientación: Ambidiestro.
Conexión: Inalámbrica 2.4 Ghz con Dongle USB.
Modelo Sensor: Pixart 3317 óptico.
Switches: Omron/20 millones de clicks.
Retroiluminación: Si, roja.
Frecuencia de respuesta: 500Hz.
MOUSE PAD PISCES:
Doble Costura.
Deslizamiento tipo Speed.
Base antideslizante de caucho.
Integramente lavable y resistente al agua.
Optimizado para todos los sensores.
Tipo deslizamiento: Tela entrelazada fibras de seda";Redragon;negro con rojo;0.3;si
MOUSE GENIUS 915 TRAVELER LASER INALÁMBRICO;computación;mouses;computación,mouses;26,15;mou915;2;"Tecnología de batería: Alcalino
Tipo de batería: AAA
Numero de baterías soportadas: 1
Cantidad de botones: 4
Frecuencia de banda: 2.4 GHz";Genius;negro;0.3;si
MOUSE GENIUS DX-110 G5 ;computación;mouses;computación,mouses;4,2;MOU110AZ;12;CONECTOR USB;Genius;azul;0.1;si
MOUSE GENIUS DX-110 G5 ;computación;mouses;computación,mouses;4,12;MOU110N;50;CONECTOR USB;Genius;negro;0.1;si
MOUSE GENIUS ECO-8100 INALÁMBRICO RECARGABLE;computación;mouses;computación,mouses;16,68;MOU8100R;0;"Cantidad de botones: Tres
Frecuencia RF: 2.4 GHz
Tipo de batería: Bateria NiMH recargable(Antes del primer uso, cargue completamente la batería durante 10 horas ininterrumpidas.)
Compatible con sistema operativo: Windows® 7, 8, 8.1, 10 / Mac OS X 10.8 o superior";Genius;negro;0.1;si
MOUSE GENIUS GX GAMING SCORPION M8-610;gamer;mouses gamers;gamer,mouses gamers;42,16;MOU610G;19;"6 botones: asigne hasta 24 teclas macro programables.
Sensibilidad de hasta 5 pasos entre 800 y adaptable en el set: resolución 8200 DPI
Máxima precisión: potente sensor láser con cuidado.
Placa sin esfuerzo: inserciones laterales de goma para un mejor agarre.
Fácil instalación: Smart Genius App libre para adaptarse a tus necesidades";Genius;negro;0.4;si
MOUSE GENIUS MICRO TRAVELER ;computación;mouses;computación,mouses;7,77;MOU-MTB;12;CONECTOR USB CON CABLE FLEXIBLE;Genius;blanco;0.1;si
MOUSE GENIUS MICRO TRAVELER ;computación;mouses;computación,mouses;7,77;MOU-MTN;13;CONECTOR USB CON CABLE FLEXIBLE;Genius;negro;0.1;si
MOUSE GENIUS MICRO TRAVELER ;computación;mouses;computación,mouses;7,77;MOU-MTR;12;CONECTOR USB CON CABLE FLEXIBLE;Genius;ruby;0.1;si
